City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Hofn,IS,2021-03-24 23:12:39,64.2539,-15.2082,36.66,72,100,9.17
189,Rio Gallegos,AR,2021-03-24 23:11:31,-51.6226,-69.2181,50.0,50,0,25.32
190,Saskylakh,RU,2021-03-24 23:12:39,71.9167,114.0833,-6.43,93,100,7.87
191,Iqaluit,CA,2021-03-24 23:12:39,63.7506,-68.5145,-16.01,69,75,4.61
192,Roald,NO,2021-03-24 23:12:40,62.5833,6.1333,41.0,75,20,12.66
193,Mahebourg,MU,2021-03-24 23:12:40,-20.4081,57.7,75.2,94,20,6.91
194,Kutum,SD,2021-03-24 23:12:40,14.2,24.6667,76.12,17,7,9.33
195,Khatanga,RU,2021-03-24 23:12:41,71.9667,102.5,-5.82,95,100,3.18
196,Soyo,AO,2021-03-24 23:12:41,-6.1349,12.3689,79.14,79,100,7.27
197,Harda,IN,2021-03-24 23:12:41,22.3333,77.1,76.35,25,2,4.79
198,Homer,US,2021-03-24 23:12:41,59.6425,-151.5483,37.99,75,75,9.22
199,Huadian,CN,2021-03-24 23:12:42,42.9633,126.7478,38.66,67,62,4.09
200,Pevek,RU,2021-03-24 23:12:42,69.7008,170.3133,-14.03,92,100,3.47
201,Agadir,MA,2021-03-24 23:10:30,30.4202,-9.5982,66.2,30,0,10.36
202,Svetlyy,RU,2021-03-24 23:12:42,54.675,20.1347,41.0,87,90,8.95
203,Bull Savanna,JM,2021-03-24 23:12:42,17.8868,-77.5902,77.16,74,36,11.65
204,Kaitangata,NZ,2021-03-24 23:12:43,-46.2817,169.8464,62.01,93,55,11.01
205,Sechura,PE,2021-03-24 23:12:43,-5.5569,-80.8222,80.58,57,92,13.58
206,San Juan,AR,2021-03-24 23:12:43,-31.5375,-68.5364,77.76,37,0,10.02
207,Biltine,TD,2021-03-24 23:12:43,14.5333,20.9167,83.53,14,30,9.48
